article,donation_amount,donation_date
Assault_on_the_Wolf-Demon_Tribe_(InuYasha_episode),473.09,2024-07-27
Biotinylated_dextran_amine,390.48,2024-01-16
HMCS_St._Stephen_(K454),480.6,2022-04-25
Orbital_ATK_Stargazer,242.81,2025-02-12
Wind-diesel_hybrid_power_system,487.16,2022-11-15
Alatuncusia,216.0,2021-06-05
Wyatt_Earp,21.61,2023-10-03
Marchigue_Airport,355.11,2021-06-13
Angren-Pap_railway_line,189.34,2022-06-11
Orre,413.04,2022-08-11
Hard-stand,438.14,2024-01-05
Nel_van_Vliet,251.52,2023-12-11
Electric_bass_guitar_tabs,130.6,2021-07-12
Danny_Rose_(footballer_born_1990),384.17,2022-08-26
"Canepa,_Steven",239.32,2022-02-06
Saxon_APC,366.59,2023-06-17
Pelecypod,486.08,2023-05-10
Delicious!:_The_Best_of_Hitomi_Shimatani,122.75,2025-06-21
Darlington_Railway_Athletic_F._C.,113.48,2022-06-10
Buck_Hill_(British_Columbia),152.99,2021-01-13
Kharajiyan,474.01,2024-09-25
"Jackson,_WY-ID_micropolitan_area",227.89,2025-05-02
Comic_Sans_MS,176.1,2021-06-04
3600_Archimedes,220.78,2022-01-26
Blockbuster-Sony_Music_Entertainment_Center,483.6,2024-07-20
The_Descent_of_the_Holy_Spirit,188.49,2021-03-02
Greg_Haugen,395.79,2022-10-24
"Morton_Township,_Knox_County,_Nebraska",351.47,2024-11-17
"Morse_Mill,_Missouri",109.24,2020-11-27
Meanings_of_minor_planet_names:_75001-76000,129.4,2023-02-09
Yoshinori_Sakai,143.3,2021-03-13
IDW_Productions,52.66,2021-11-02
Upper_Guinean_bulbul,255.85,2025-04-04
Episodes_of_Highlander_(season_6),335.51,2024-07-09
Cleveland_Short_Line_Railway,117.31,2024-06-21
Jacky_Cheung_Hok-yau,216.99,2024-03-27
Emil_Wutzky,349.52,2025-10-07
Time_Deposit,421.83,2024-06-05
Scrophularia_villosa,332.69,2023-01-02
Punctuationism,258.11,2021-11-28
New_Power_Soul_Tour,31.32,2022-01-31
Anianus_(referendary),455.05,2025-07-24
Louise_Gilman_Hutchins,245.34,2025-06-19
Dentist_chair,77.45,2023-06-20
Validation_rule,188.5,2022-07-12
Mouse_Models_of_Colorectal_and_Intestinal_Cancer,498.01,2024-08-21
Zygopetalum_fragrans,263.84,2024-10-19
Lenjovan,456.57,2025-02-28
Swiss_Global_Air_Lines,15.28,2024-10-07
Deaths_in_587,47.07,2022-03-14
"Nasser,_Egypt",201.22,2021-08-28
W277CB,341.42,2022-07-12
Swiss_Global_Air_Lines,38.53,2024-10-26
Distress_radiobeacons,251.96,2022-08-31
Sri_Lankan_Forest_Tradition,274.82,2024-10-30
Youssef_Zaghba,87.8,2024-10-14
39th_Information_Operations_Squadron,98.48,2024-08-30
Warning_system,134.27,2024-03-20
Trouserpress.com,85.62,2024-12-19
Indian_Super_Cup,67.53,2024-01-31
Fairfield_Airport_(disambiguation),236.8,2023-05-14
Billy_Ward_(rugby_league),398.54,2022-03-27
USNS_John_F._Thorson_(T-AK-247),160.52,2021-08-05
Meyreuil,301.68,2022-11-07
J._H._Whitney_and_Company,17.57,2024-10-03
Neoclassical_compound,22.24,2022-01-09
Lebey,493.8,2025-01-17
Ashok_Mankad,335.93,2020-12-27
Andre_Kinney,209.77,2022-05-23
Thursby_DAVE,48.53,2024-01-08
Mision_Nuestra_Senora_de_los_Dolores_del_Sur_Chilla,1.12,2020-12-14
Mision_Nuestra_Senora_de_los_Dolores_del_Sur_Chilla,377.27,2022-07-05
Drew_Casen,8.12,2023-04-16
Tree_Poppy,415.39,2023-09-15
Chlanidota,334.09,2021-09-23
New_York_City_landmark_bomb_plot,337.51,2021-05-20
A_Little_Bit_of_Jazz,419.22,2021-10-16
Joseph_Kessler,289.74,2024-04-28
COGnitive_Prime,296.29,2024-07-12
Eugene_J._Bedell,330.6,2024-12-10
Opiinae,450.12,2021-03-28
Indian_Premier_League_Orange_Cap,316.69,2024-11-09
Asia_frogs,42.97,2024-05-08
DOC_Stadium,425.27,2021-05-25
Naveed_Nawaz,178.8,2023-05-31
Akasha_deepa,128.01,2022-03-20
Showbiz_Pizza_Time_Inc,481.58,2023-08-10
(46933)_1998_SP62,315.58,2025-05-14
Lophothoracia,227.91,2021-01-08
Hypsometry,217.2,2021-04-29
Agade,426.33,2021-03-08
Noam_Federman,187.76,2023-07-08
Moravske_naftove_doly,212.09,2022-11-16
John_R._Pillion,429.5,2021-11-12
Tony_Gelbart,325.81,2022-01-07
Barbara_Hesse-Bukowska,419.81,2025-09-19
28309_Ericfein,46.59,2024-11-08
Corymbia_variegata,370.52,2025-04-20
Synergism,489.52,2025-05-25
Western_forest_robin,391.45,2021-04-02
Ilia_and_Idamante,391.66,2021-04-28
Medicated,72.76,2022-10-02
Scouting_in_Alabama,230.79,2024-02-15
J_Wave,176.92,2021-06-03
Ito-toren_(Amsterdam),2.01,2024-08-17
Conseil_scolaire_de_district_catholique_des_Grandes_Rivieres,153.18,2024-08-22
Nenad_First,79.41,2025-07-18
Dora_F._Olivo,10.21,2023-07-12
Robert_Daniel,428.28,2023-12-16
Farman_F-40,109.54,2024-12-31
Culture_Express,166.22,2025-03-21
Spavinaw,246.12,2021-08-28
Eligible_Receiver,428.51,2023-10-04
Wind_Point_Partners,234.67,2025-01-26
"Chemist,_Childers",427.48,2023-06-18
"Embassy_of_Poland,_London",456.47,2025-02-25
Finnish_pollution_control_vessel_Hylje,28.38,2021-01-30
Cesar_Martinez_(Paraguayan_footballer),221.24,2025-10-05
TiCN,393.2,2023-06-28
Inkawar,296.05,2024-06-20
Mysterious_dungeon,271.07,2022-03-11
Dan_Torelli,87.52,2021-02-06
"Burwood_East,_Victoria",17.59,2022-12-21
Valea_Luntrei_River,419.16,2025-04-12
Amelia_Elizabeth_Guppy,228.47,2022-07-01
Richardson_Clover,59.4,2021-08-03
Kingdom_of_Albania_(1272-1368),46.4,2023-02-11
Bulgaria_at_the_1936_Summer_Olympics,18.06,2023-12-16
"National_Football_League_playoffs,_2005-06",132.91,2023-04-28
Wind_Point_Partners,401.39,2025-06-05
Alexander_Betts_(social_scientist),429.93,2021-12-19
Trapped!_(TV_series),468.72,2024-06-29
Snakehead_(novel),337.57,2025-10-28
Robbie_Boyle,370.92,2022-12-02
Sony_Cybershot_F717,489.95,2024-11-28
Pamela_experiment,355.45,2023-11-17
Scheggia_e_Pascelupo,241.24,2024-02-24
Needham_(MA),373.11,2021-06-02
Mk_II,96.87,2025-09-10
Glen_Hills_Primary_School,299.23,2021-12-30
Culdesac_(mixtape),65.85,2021-12-16
Pinnochio_(Billy_and_Mandy),234.41,2023-08-30
Jagdfliegerfuehrer_5,237.4,2025-06-17
Museum_Roumjantsev,481.9,2022-07-01
Eugene_J._Bedell,122.65,2022-09-26
USS_YP-26,424.23,2021-08-15
Lake_Abbe,196.48,2023-11-09
Jose_Vizcarra,375.16,2021-11-16
Andenes_(Norway),373.02,2024-05-08
New_Haven_Athletic_Center,288.04,2021-12-05
Porocyphus,410.97,2024-01-18
Tulsa_Roughnecks_(disambiguation),71.39,2022-12-01
Corb_(disambiguation),57.8,2021-09-09
Phalaena_lichenella,442.88,2023-06-27
Capcom_Play_System_3,208.1,2020-12-20
Ava_Sinclair,411.44,2022-02-09
Immacolata_Battaglia,496.86,2023-09-13
S9902_Xinle-Yuanshi_Expressway,293.03,2022-07-17
Gilia_tenuiflora,110.76,2024-08-12
The_Star_Chamber,435.45,2022-02-21
Philippine_College_of_Health_Sciences,151.82,2024-03-20
Cellular_repeaters,494.76,2021-01-27
Aircraft_losses_of_the_vietnam_war,139.4,2021-12-17
Rachel_Feinstein,131.94,2023-05-24
Orders_of_magnitude_(lumen),460.33,2025-09-29
Minister_of_Public_Works_and_Housing,390.77,2022-02-19
Luxomni,242.72,2021-09-13
Dani_Tyler,335.84,2023-12-01
Social_rule,101.17,2024-01-16
Prima_televize,288.5,2024-09-16
Annabeth,409.57,2025-01-24
Vitebskas,38.93,2023-01-08
List_of_Belgian_postal_codes,492.25,2025-10-23
Ko_Sukorn,272.37,2021-11-07
Marquisate_of_Tuscany,305.08,2022-06-07
Meinhard_II_of_Carinthia,332.66,2024-12-07
Jewish_Philosophy,88.29,2025-06-20
USNS_John_F._Thorson_(T-AK-247),137.66,2023-02-01
Dugald_Sutherland_MacColl,211.73,2023-03-01
Noel_Edmonds,14.12,2022-12-20
West_Bar,359.89,2022-12-17
Danny_Rose_(footballer_born_1990),413.08,2025-03-06
Dr._Mengele,263.48,2024-05-21
VMFA_142,391.91,2022-06-21
Insulation_(for_buildings),31.86,2021-06-14
Attalia,246.56,2025-05-12
W268CU,318.45,2021-02-20
Harry_Surtees_Altham,496.47,2024-01-14
1976_Tehran_UFO_incident,497.83,2022-02-24
For_Your_Ears_Only_(radio_program),81.36,2024-12-20
Hapoel_Kafr_Qasim_F.C.,337.69,2023-07-03
Poppy_seed_muffin,312.33,2021-12-26
"Francis_Leigh,_1st_Earl_of_Chichester",458.95,2020-11-20
Shortleaf_Pinecone_Borer_Moth,441.78,2022-12-20
KHSRP,18.14,2024-04-15
Saffron_Swastika,484.14,2025-02-03
Max_Mereaux,470.38,2022-04-05
Eylem_Senkal,270.43,2023-11-13
Dingleden,301.52,2021-05-11
TOURISM_BOOKS,321.25,2024-09-01
Unione_Naziunale,419.06,2025-08-23
Mary_Ashton_Livermore,71.99,2020-12-01
Ryunosuke_Kawai,19.01,2020-12-14
Coin_Act,306.04,2022-04-10
Stationary,149.64,2025-10-07
The_Last_Message:_Umizaru,163.69,2021-04-15
USS_YP-26,457.48,2025-06-06
The_Clouds,27.15,2022-12-03
Modarri,263.78,2025-10-20
Great_New_England_Hurricane,459.54,2023-02-19
Book_of_Music,316.18,2023-04-16
Coat_of_arms_of_the_Valencian_Community,386.92,2024-04-13
National_Health_Foundation,122.42,2021-12-13
Ngajanji,3.81,2024-02-28
"Peterson,_KS",269.57,2022-09-01
Common_Bulbul,267.9,2023-06-03
Anti-Racist_Alliance,28.24,2021-01-22
Polymixis_xanthomista,458.23,2025-10-29
Middlesmoor,358.78,2025-01-15
Tirah_Expedition,116.79,2021-10-10
Tillandsia_grandis,80.12,2021-05-25
Nova_Scotia_Student_Advocacy_Coalition,9.49,2020-12-03
Lier_B.B.C.,128.64,2023-02-03
Mark_Stichbury,190.06,2025-11-06
Christl_Wober,389.33,2023-04-30
Polygon_soup,124.81,2021-12-24
The_Addams_Family_(Game_Boy),217.96,2022-11-16
Log_(function),487.6,2021-04-13
UN/LOCODE:USZPA,98.59,2025-05-29
Mansebo,313.47,2020-11-25
KSAT-DT,102.98,2024-01-26
Sheathed_Sedge,96.4,2022-07-14
Diary_of_a_Madman_(song),61.6,2022-08-18
Like_Lightning,75.75,2022-11-05
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1992),88.75,2021-12-22
"Sierra_Leonean_parliamentary_election,_2002",96.05,2023-01-06
Cam_Westhead,11.3,2024-12-18
M-107,246.05,2023-08-27
Juan_Carlos_Perez,130.22,2022-02-25
Hornbuckle_(Mortal_Kombat_character),352.36,2021-05-10
Shankardev_Kalakschetra,201.17,2021-05-20
WVOO-LP,62.14,2024-12-01
Michelle_Duff,472.51,2021-04-22
O._R._Ramachandran,342.85,2024-07-09
Marc-Ange_Draco,126.19,2023-12-10
Oberlerchner_Job_15,442.92,2021-11-10
Ethniu,145.8,2022-07-30
352,376.81,2022-10-24
Musculus_sphincter_urethrae,326.86,2022-09-13
Usubbeyli,348.71,2021-02-08
Columnea_querceti,42.71,2025-04-25
Grass_Warbler,428.08,2022-12-19
Eric_Zencey,287.23,2024-02-13
Henry_Spiller,38.16,2025-01-08
Filangieri,305.53,2023-08-19
The_Froggy_Frogspawn,452.0,2021-11-10
UPTG,432.48,2025-07-11
Planck_Epoch,269.87,2022-12-01
"2011_Barn_Doors_Spring_Tour,_Live_in_Holland",396.33,2025-02-28
Natural_Debt_Limit,321.4,2024-08-08
Suratkal_beach,458.0,2023-12-23
"Radostowo,_Pomeranian_Voivodeship",451.93,2021-04-18
Leigh_Page,405.84,2023-04-29
2005_Laurence_Olivier_Awards,377.51,2025-06-06
Drives_on_the_left,162.31,2024-07-01
Evgeny_Kalinin,394.7,2025-06-13
Jake_McGuire,145.35,2025-07-25
Ys.,92.27,2022-06-28
Meteorological_satellite,229.6,2023-06-11
Lau_Chin_Sek,170.91,2024-10-22
Ingjald_Haaland,449.51,2022-09-19
MV_Aricia,443.93,2023-11-22
2059_(year),283.49,2024-03-31
The_Russian_Archive,25.43,2022-04-10
Goju_Ryu,393.78,2021-08-18
City_of_Durham_local_elections,112.29,2022-09-17
Grammia_williamsii,387.58,2025-03-27
The_Simpsons.com,357.32,2025-10-04
"Vilviestre_del_Pinar,_Burgos",211.96,2025-08-13
Jim_Marquand,374.29,2023-07-09
FJ_series,482.19,2025-04-22
Chauncey_Burr,232.17,2023-12-30
Huerm,99.02,2025-07-17
Lojpur,251.12,2021-11-25
Tsunao_Okumura,491.18,2022-03-14
Copper-Pyrites,482.51,2022-07-25
Side_road,155.66,2024-11-24
St._Matthew_Passion,207.04,2022-09-02
Rueun_(Grisons),461.25,2025-06-09
Tang_Xizong,350.68,2022-09-20
Phalaena_lichenella,72.58,2021-06-09
Friendly_Corner,160.17,2022-09-26
Eugene_J._Bedell,448.66,2023-05-23
Paul_Moody_(inventor),312.42,2022-04-20
Deaths_in_2014,15.07,2025-03-06
WVKO_(disambiguation),12.75,2024-12-13
Metal_Gear_Solid:_The_Phantom_Pain,443.63,2023-11-18
NVDL,496.01,2021-06-05
Cezary_Stefanczyk,64.42,2025-07-13
Famelica_nitida,18.43,2022-10-18
Tree_Poppy,27.38,2022-04-12
"Palo_Negro,_Santiago_del_Estero",407.63,2024-03-07
2010_NFL_Playoffs,36.59,2025-07-22
Led_Zeppelin:_Covers_and_Tributes,342.01,2023-12-22
Giovanni_Miranda,333.72,2024-05-16
Shellfish_toxins,189.16,2022-09-16
"Barin,_Golestan",283.54,2021-01-17
MasterCard_International_Incorporated,97.15,2023-08-01
Piz_la_Stretta,326.67,2022-04-06
Pneumatic_artificial_muscles,444.07,2020-11-17
Micah_Johnson,305.73,2023-04-03
U.S._Customshouse_(Providence),402.25,2025-02-17
Showbiz_Pizza_Time_Inc,293.45,2021-10-28
Khasi_poetry,139.25,2025-01-17
Fools_Overture,351.64,2021-04-27
Believe..._In_Holiday_Magic,332.63,2020-12-27
BGT_6,288.34,2023-04-29
"The_Spider,_master_of_men",63.08,2024-12-31
Michael_Hutchison_(priest),118.68,2022-10-11
Environment_America,71.73,2022-05-28
Serre-Poncon,10.22,2024-08-12
United_states_government_agencies,477.65,2023-10-09
"Ciano,_Galeazzo,_Conte_di_Cortellazzo",319.77,2023-08-13
True_West_Magazine,257.74,2022-01-15
Gunfleet_Lighthouse,16.5,2022-08-13
Waiau_River_(Gisborne),304.84,2020-11-23
Muslim_grave,225.26,2021-04-29
Christopher_Knight_(actor),335.57,2022-12-29
Deoli_(Vidhan_Sabha_constituency),91.02,2024-01-04
Devraj_sanyal,209.31,2022-06-26
Battle_of_pancorbo,450.92,2023-05-15
Jacobite_rising_in_1715,381.08,2022-09-24
"Adams,_Tarn",360.54,2023-01-02
Armenia_Lebanon_relations,93.64,2025-02-26
"Charles_Howard,_20th_Earl_of_Suffolk",136.18,2022-03-26
Don_Bryant_(songwriter),63.01,2022-06-23
"U_S_Post_Office_(Hyde_Park,_New_York)",155.86,2021-10-22
The_Insider_(magazine),162.51,2025-03-21
Wireless_bridges,336.78,2025-06-27
Collie_Motorplex,96.84,2024-08-19
Pedro_Osorio,201.25,2021-07-03
"Vermont_gubernatorial_election,_1996",36.78,2025-03-28
Jan_Rot,490.91,2024-11-25
Freak_Me_Out_(Weezer_song),273.15,2020-11-27
Distorted_news,261.1,2024-10-14
Stratford_(surname),71.61,2021-12-31
Earls_of_Banbury,120.96,2025-03-13
Antonio_Martinez_Luna,386.61,2024-06-11
Notre-Dame-de-la-Defense,494.27,2022-03-30
Moszczanka,239.48,2022-11-24
Stani_Zawadzka,368.88,2021-06-05
Johnny_Falls_(Hedley_song),7.29,2025-09-10
Deaths_in_587,64.4,2025-01-30
Proto-Samoyed_language,66.07,2024-07-26
Moru,132.96,2023-02-22
Dodge_Avenger,199.65,2020-11-27
"List_of_municipalities_in_Mato_Grosso_(MT),_Brazil",163.71,2024-09-14
Point-coincidence_argument,209.53,2024-04-21
East_End_Brewing,152.06,2023-10-31
Water_festival,433.73,2025-03-04
Head_of_State,299.14,2022-06-12
Black_Friday_(2005_film),157.42,2022-03-31
Jon_cheechoo,51.19,2020-12-25
Truth_(Bloc_Party_song),256.87,2023-12-07
Peshrar_block,484.85,2025-04-21
Anteros_(album),178.46,2021-11-06
Nassawango_Iron_Furnace_Site,127.75,2025-04-08
Pavel_Sevyarynets,148.74,2025-09-09
Yolande_Korkie,88.12,2024-06-15
Michael_Zagarell,37.26,2022-08-24
Gustavo_Antonio_Gelpi_Jr.,84.67,2025-02-14
Meinhard_E._Mayer,260.47,2024-09-04
Wind_Point_Partners,99.16,2024-10-17
List_of_Malayalam_films:_1980s,199.49,2022-03-18
Bleu_Landau,380.49,2023-04-03
Microceratodus,394.97,2020-12-10
4410s,53.94,2024-11-02
Collins_John,408.14,2022-05-11
Chleuhs,332.72,2025-10-17
Philip_Kingsford,290.87,2022-09-30
"Longfellow_School_(Rutland,_Vermont)",482.37,2022-01-11
Cleveland_Short_Line_Railway,495.37,2021-01-06
Nol_Havens,304.92,2022-09-02
Excellentium_Imperatorum_Vitae,437.17,2021-02-08
Cuban_Stars_(disambiguation),57.77,2021-09-05
CosmoGirl,212.06,2025-05-06
Break_My_Heart_(Estelle_Song),22.15,2023-09-19
Evgeny_Kalinin,210.64,2022-04-20
List_of_massacres_in_Peru,38.7,2021-03-29
Baron_of_Gritzena,82.09,2024-08-29
Barbara_Hesse-Bukowska,298.5,2024-03-04
Jose_Lenoir,447.11,2023-01-24
2016-17_FK_Sarajevo_season,156.26,2023-06-01
Zhu_Qinming,25.54,2023-11-27
Salpa-Line,88.34,2021-07-28
America_and_colonialism,50.07,2022-05-05
"Radzie,_Podlaskie_Voivodeship",396.95,2022-12-07
French-Canadian_cuisine,389.07,2021-06-23
List_of_LGBT_actions_in_the_United_States_prior_to_the_Stonewall_riots,409.2,2023-02-22
Hafr_AL-batin_college_of_technology,145.53,2021-10-21
Stade_de_France_(film),297.05,2021-09-25
Loveland_(R._Kelly_album),321.89,2022-05-14
Lukom,186.68,2024-10-05
Indian_Premier_League_Orange_Cap,471.74,2023-11-16
Department_of_administrative_affairs,401.72,2023-09-09
Samambula_River,354.56,2025-01-11
2013_Coates_Hire_Ipswich_360,129.44,2023-02-11
"Grit,_Virginia",368.93,2024-07-13
"Opinion_polling_in_the_Scottish_Parliament_election,_2016",270.07,2022-02-18
Colias_lesbia,367.05,2024-01-05
Iolaus_farquharsoni,14.34,2022-10-24
Bure_(Diocese),134.11,2021-04-19
Nadymskiy,216.59,2022-05-03
Dingleden,457.86,2020-12-25
Relationship_maintenance,427.14,2024-11-04
Valea_Mesteacanului_River,90.19,2022-10-17
Chalciope_mygdonias,0.15,2022-09-24
NK_Bezigrad,309.33,2024-07-19
Mount_Pierre,215.22,2020-11-21
Thomas_W._Malone,190.67,2022-10-31
120th_meridian_east,33.46,2024-11-17
Charity_shop,497.91,2022-09-30
Louis_joseph_coralie,432.16,2022-01-04
List_of_Egyptian_hieroglyphs_by_alphabetization,215.95,2021-08-22
Leon_Smith_(basketball),371.9,2025-03-01
"Prattville,_OK",435.19,2025-10-23
Fleetwings_XBQ-1,79.03,2022-11-10
Ross_Anderson_(skier),57.17,2021-08-17
Hunan_independence_movement,431.81,2022-02-21
Wendell_M._Latimer,200.0,2022-06-29
Paul_Narracott,195.81,2023-04-25
Casa_de_las_Americas_Prize,195.17,2021-03-18
Great_West_Run,168.35,2022-03-09
Samorzadki,246.8,2025-04-26
Markey_Wallace,19.91,2024-09-30
Arsta_slott,456.94,2023-05-13
Musee_Carnavelet,449.37,2023-10-25
List_of_episodes_of_The_Simpsons,14.74,2024-06-25
Keppa_falls,449.13,2024-09-22
The_Seattle_Medium,262.13,2021-05-08
Alpine_Argus,465.82,2025-10-02
San_Jose_Razorclaws,422.35,2023-02-13
Koopman_operator,269.97,2022-01-25
Gansuiformes,90.93,2022-12-03
Wylie_Breckenridge,179.87,2025-04-30
Zhang_Xian,95.89,2024-01-29
Takasahimadaira_Station,409.61,2020-11-23
Michelle_Duff,420.16,2024-02-25
Department_of_Northern_Virginia,466.04,2021-09-01
India_at_big_four_international_beauty_pageants,114.58,2021-11-26
Argentina_-_Republic_of_Texas_relations,189.52,2025-08-02
Eustathios,312.25,2024-01-23
Jesse_Aarons,373.79,2021-11-29
James_Marshall_(political_adviser),191.41,2022-02-14
Jef_Nys,433.23,2023-02-08
Po-Eun,337.99,2022-04-18
Stephen_Weah,290.85,2023-12-26
An_Weijiang,21.12,2024-07-02
"Palate,_hard",240.1,2023-07-31
Firestarter_(firewall),432.76,2024-04-06
6th_Asian_Film_Awards,372.44,2022-05-20
Philadelphia_Science_Fiction_Society,292.79,2021-10-04
"Casas_del_Monte,_Spain",166.64,2024-01-02
39th_Information_Operations_Squadron,415.41,2024-01-15
Bang!_(drama_game),445.19,2025-10-04
Swatow_ware,268.88,2024-04-24
Cymbellales,235.01,2023-10-30
Blasphemy_(short_story_collection),244.46,2023-03-15
Ramornie_Stringybark,294.9,2021-01-03
Lambeg_(disambiguation),185.91,2023-10-04
Carlos_Godoy,109.44,2023-11-08
Netherlands_Football_League_Championship_1891-92,474.88,2024-10-03
Future_u.s._flag,456.97,2021-06-05
Steven_A._Rotter,169.47,2021-09-19
Pavlovskyella,464.8,2021-06-01
Bobe_people,57.33,2021-08-30
Zametasta_Crnina,271.26,2025-02-06
Maruekatayawan_Palace,49.32,2021-01-31
Michael_Hutchison_(priest),307.24,2021-01-03
"St._Paul,_Minnesota",213.21,2025-07-25
The_Coast,278.07,2021-01-16
Richardson_Clover,14.19,2025-03-24
Agricultural_emissions_research_levy,199.68,2023-07-24
Chemical_Hygiene_Officer,488.57,2024-01-25
Eleanor_Thackara,232.25,2024-02-16
Angelburg_(hill),351.44,2024-05-01
Kimmswick_Historic_District,110.73,2024-06-17
Editora_Fundamento,372.39,2024-07-07
Hypercallia_haematella,430.46,2021-05-28
Rupa_Bhavani,310.88,2024-11-18
List_of_New_York_Mets_owners_and_executives,103.56,2023-01-01
Superscooper,132.96,2023-10-20
FS_Class_E326,24.49,2020-12-04
Anas_Ameyaw_Anas,404.71,2023-11-02
Joseph_Bombardier,324.47,2023-09-06
Allan_Morgan,379.94,2023-08-09
Bulbophyllum_barbigerum,299.52,2021-02-09
"Hunter,_Sarah",24.22,2023-03-02
San_Diego_North_County,369.85,2024-08-29
2-4-4-0T,443.97,2022-04-06
Messroom,45.46,2022-10-11
Columnea_querceti,357.71,2024-05-10
Delia_Matte_Perez,270.9,2021-10-04
Mcfly,131.92,2023-02-17
The_Looking_Glass_Workshop,375.94,2020-11-18
Son-of-man,28.08,2025-07-03
Anglican_Assistant_Bishop_in_Geelong,401.45,2023-02-08
Isham_Green_Harris,286.89,2020-12-10
RU-PSK,84.14,2025-06-02
"Dabrowa,_Opole_County",407.35,2024-08-07
Frederic_Mesot,7.77,2024-09-13
Sparganothina_volcanica,441.79,2020-12-14
Dirac_particle,59.02,2022-05-24
Nu-Kwa,46.88,2025-06-29
Kafr_Qadah,110.74,2022-01-05
HR_1551,497.18,2023-08-23
William_Bowes_(disambiguation),70.32,2023-07-09
Sangaris_luctuosa,464.13,2023-08-19
UTC14,29.62,2022-03-14
US_1_(GA),493.67,2022-07-12
New_York_Route_384,327.36,2021-03-15
List_of_Heroes_of_the_Russian_Federation-L,163.4,2022-05-25
Lidia_Yurkova,43.8,2022-05-12
Macdog,422.62,2023-03-01
Famous_Fights_from_Madison_Square_Garden,217.91,2024-09-25
Yongsoo_Park,11.24,2021-09-30
Kenneth_I_Chenault,207.34,2025-06-15
Fangzhouguangchang_Station,185.47,2021-01-28
Ha_Tinh,345.78,2023-10-14
A_Little_Bit_of_Jazz,148.27,2021-08-01
Nanri_Yuuka,232.79,2022-02-19
"Moultrie_County,_IL",452.65,2021-12-02
W268CU,139.4,2025-07-10
PAS_Tehran_VC,431.8,2022-01-12
The_Looking_Glass_Workshop,454.05,2025-09-22
House_of_Kurnatowski,462.19,2020-11-14
Tietotehdas,89.84,2023-12-23
Nechi_River,390.19,2023-07-28
Riviere_Falaise,230.98,2021-12-05
Phyrrotite,475.74,2022-11-25
Headborough,242.79,2025-09-01
Auditing_Practices_Board,138.33,2022-02-05
Bunyip_ultralight,3.94,2021-01-31
Diary_of_a_Madman_(song),67.04,2022-01-29
"Sierra_Leonean_parliamentary_election,_2002",343.45,2022-10-18
Snow_Sakura,386.31,2024-07-12
Plumas_Junction,198.79,2021-12-28
Itsushi_Incident,244.01,2022-10-26
Jon_cheechoo,384.8,2025-11-06
Jeff_Lynne_and_The_Beatles,359.96,2022-06-10
Tensor_veli_palatini,91.44,2025-06-02
Karaclymenia,374.35,2024-01-24
For_Your_Ears_Only_(radio_program),359.32,2023-07-10
"Mohammadabad,_West_Azerbaijan",322.74,2024-12-24
Northern_Seahorse,473.84,2025-04-09
Judiciary_of_Wales,450.91,2023-03-10
Noun_gender,199.89,2021-12-02
PLN,463.53,2024-07-15
Athletics_at_the_2008_Commonwealth_Youth_Games/boys_medals,397.33,2022-05-05
"Arlington_House,_Margate",454.76,2025-10-18
Northern_Maalhosmadulu,67.0,2022-08-21
WNFM_Cable_8,466.1,2022-07-17
Chah_Hasan_Khani,182.11,2022-07-12
Joseph_Holmes_House,10.43,2025-08-20
Ryszard_Parulski,408.2,2025-01-18
Catterick_Airdrome,91.42,2024-11-14
"Fort_Davis,_Washington,_D.C.",218.25,2021-09-26
Sarah_Marshall,371.14,2021-08-22
Danny_Hinshelwood,348.46,2025-06-21
Jacob_Gottfried_Weber,7.05,2022-12-25
Interstate_985_in_Georgia,318.38,2025-11-05
Doris_Chanin_Freedman,220.63,2022-05-05
Arlanda_Express,295.55,2024-09-29
"Porphyrias,_hepatic",296.19,2024-02-06
Castrenoyane,450.85,2024-08-08
Vahe_Hakobyan_(born_1971),373.73,2023-02-20
Intersexuality,336.42,2025-02-23
Walnut_cookie,479.54,2021-05-07
Icarus_affair,347.68,2023-04-06
Centrale_Organisatie_Voor_Radioactief_Afval,347.02,2021-03-01
Spring_AOP,4.24,2024-02-08
Kundt_(crater),343.72,2022-06-29
Arrestor_gear,58.48,2025-04-02
True_Way,416.61,2023-03-27
Mcfly,452.32,2021-04-06
"Comtat,_France",251.21,2022-09-26
Sushil_Kr_Modi,392.72,2022-11-02
James_Romak,83.74,2021-07-03
Braughing_Roman_Town,339.81,2024-06-20
Coal_pulverization,383.75,2022-06-17
Mountain_America_Credit_Union,436.55,2021-09-14
Robert_Thompson_(Wisconsin_politician),150.62,2025-05-26
Ashok_Mankad,159.55,2024-03-31
Bristol_Type_144,261.78,2023-08-28
The_Death_of_Speedy_Ortiz,108.03,2021-07-16
Christopher_Knight_(actor),485.5,2021-08-29
Willie_McQueen,409.5,2024-02-04
David_C_Bradley,469.93,2025-09-12
Phenofibrate,412.96,2023-07-16
Brongniartella_(alga),240.59,2022-08-30
Lol_Mahamat_Choa,239.66,2025-02-11
Cabin_Creek_(disambiguation),344.36,2021-07-24
Gansuiformes,247.18,2022-02-17
PARED,388.42,2024-06-05
Helie_de_Noailles,169.78,2021-04-24
Elijah_Barrett_Prettyman_(judge),320.03,2022-10-28
Hair_of_Gold,134.24,2022-02-04
Laura_Ann_Branigan,338.28,2022-11-11
